Timestamp, FrameID, RTT(us)
1766398800.600486, 175407, 415985
1766398800.615334, 175943, 396606
1766398800.622798, 176316, 386959
1766398800.654476, 176879, 385809
1766398800.661902, 176988, 377142
1766398800.666788, 176552, 415558
1766398800.692786, 177302, 390559
1766398800.697734, 177821, 362122
1766398800.707958, 177653, 388705
1766398800.727149, 178098, 375612
1766398800.760901, 178922, 356799
1766398800.760947, 178307, 393115
1766398800.763346, 178610, 377640
1766398800.802914, 179273, 368088
1766398800.802953, 179008, 383570
1766398800.825856, 179495, 373673
1766398800.825921, 179717, 357062
1766398800.834552, 180025, 349268
1766398800.849557, 180342, 347538
1766398800.876273, 180683, 357986
1766398800.884122, 180877, 349190
1766398800.900419, 181145, 346294
1766398800.913053, 181481, 344576
1766398800.937269, 181625, 352292
1766398800.945788, 181863, 343461
1766398800.958442, 182382, 322967
1766398800.958476, 182271, 338903
1766398800.981796, 182623, 328897
1766398800.999728, 182975, 329425
1766398801.024401, 183438, 322465
1766398801.024441, 183192, 339029
1766398801.032066, 183638, 313510
1766398801.036725, 184032, 301388
1766398801.083195, 184139, 330021
1766398801.096164, 184575, 327498
1766398801.102441, 184783, 317284
1766398801.126487, 185237, 306861
1766398801.126533, 184999, 324255
1766398801.145682, 185540, 310109
1766398801.153702, 185668, 300912
1766398801.168373, 185928, 299475
1766398801.176641, 186184, 290754
1766398801.211648, 186615, 307673
1766398801.217126, 186674, 295484
1766398801.220052, 187200, 267861
1766398801.222864, 187016, 286915
1766398801.260511, 187790, 273510
1766398801.260549, 187481, 291612
1766398801.271370, 188025, 268556
1766398801.306085, 188367, 286536
1766398801.322444, 188505, 285863
1766398801.327601, 189032, 259144
1766398801.350011, 189250, 263412
1766398801.350058, 188679, 296960
1766398801.386968, 189903, 267442
1766398801.394495, 189568, 290014
1766398801.404759, 190017, 268773
1766398801.424873, 190510, 254645
1766398801.424911, 190446, 271912
1766398801.455829, 190720, 270643
1766398801.458369, 191111, 256324
1766398801.488017, 191421, 268389
1766398801.490540, 191574, 254986
1766398801.524417, 191847, 269644
1766398801.531895, 192341, 245268
1766398801.539405, 192008, 268781
1766398801.572788, 192566, 268699
1766398801.577606, 192943, 256882
1766398801.578102, 193259, 239224
1766398801.620652, 193530, 264145
1766398801.632165, 193780, 261897
1766398801.644700, 193843, 257208
1766398801.650741, 194114, 245048
1766398801.677639, 194539, 255510
1766398801.687723, 194661, 251350
1766398801.719259, 195019, 263223
1766398801.739579, 195115, 267825
1766398801.750777, 195673, 247100
1766398801.783847, 196004, 263445
1766398801.786338, 195518, 299068
1766398801.822589, 196237, 284687
1766398801.823083, 196779, 249671
1766398801.823104, 196530, 268505
1766398801.830724, 197110, 243659
1766398801.853356, 197364, 248827
1766398801.883543, 197419, 262176
1766398801.911468, 197829, 273355
1766398801.930765, 197941, 274598
1766398801.968029, 198644, 286231
1766398801.968554, 198709, 264191
1766398801.968585, 198170, 297016
1766398801.986000, 199073, 263934
1766398802.012331, 199345, 275182
1766398802.022802, 199563, 269182
